origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-09 21:39:02.390,32305142.39,40.282167,-124.534167,0.61,1.79,1008130,0.044801,6.09429645,5.20977465,6.33707905,2.30788946
2022-12-10 03:34:05.610,32326445.61,40.0945,-123.602667,0.9,0.63,1008131,0.011784,11.00726079,10.94351206,10.16353457,0.15792644
2022-12-10 06:27:32.130,32336852.13,39.6665,-123.847333,6.62,2.56,nc73816876,0.108714,13.99894918,12.98837806,5.05327158,0.04331422
2022-12-10 07:43:23.010,32341403.01,39.961667,-123.4455,4.94,1.36,1008133,0.027308,15.68752714,12.75754972,7.0386064,0.08602929
2022-12-10 12:24:23.770,32358263.77,40.141667,-123.857333,24.65,1.74,1008134,0.042295,16.98999642,9.41506269,3.2137106,0.33768296
2022-12-10 13:47:39.180,32363259.18,40.365333,-124.293167,31.36,1.64,1008135,0.037695,11.05647487,5.85718383,2.35127829,0.12200642
2022-12-10 14:21:59.860,32365319.86,40.273167,-124.612167,19.38,1.19,1008136,0.022454,5.99557594,9.61925272,3.44656065,0.01841998
2022-12-10 22:58:41.460,32396321.46,40.2835,-124.531833,23.17,1.34,1008137,0.026686,7.34916912,7.77614066,3.90444581,0.44011581
2022-12-10 23:48:26.070,32399306.07,40.51,-124.207833,21.37,1.0,1008138,0.018042,13.6009792,6.83178767,3.94239311,0.13547182
2022-12-11 03:36:40.970,32413000.97,40.323,-124.409333,32.21,1.92,1008139,0.052034,6.08529414,5.16971986,1.6719686,0.2131657
2022-12-11 06:08:22.550,32422102.55,40.514,-124.290833,25.81,1.16,1008140,0.021691,10.36536205,4.84277645,2.51725925,0.42463529
2022-12-11 06:24:12.060,32423052.06,40.3925,-125.361833,23.8,2.1,1008141,0.064016,1.49074007,1.24768668,4.70955362,0.23840141
2022-12-11 06:26:18.330,32423178.33,40.458833,-124.416167,19.04,1.31,1008142,0.02578,7.87292886,3.18316964,1.93270568,0.24083853
2022-12-11 07:13:50.000,32426030.0,40.234333,-124.652833,10.11,1.44,1008143,0.029942,6.90726566,8.44166629,7.09061387,0.27962208
2022-12-11 09:07:09.040,32432829.04,40.2665,-124.579333,9.25,1.32,1008144,0.026079,6.42992761,7.10225184,4.20978491,0.68777132
2022-12-11 09:23:23.010,32433803.01,40.287167,-124.559167,10.65,1.09,1008145,0.020012,6.04748729,6.9237894,4.00194205,0.59686208
2022-12-11 15:52:09.000,32457129.0,39.988167,-123.385167,37.79,1.31,1008146,0.02578,0.35100563,0.37324752,0.51821943,0.17156625
2022-12-11 15:56:45.030,32457405.03,39.982333,-123.395667,37.98,1.02,1008147,0.018462,21.45861859,7.87352389,2.08415113,0.90438348
2022-12-11 19:18:20.700,32469500.7,40.156,-124.461833,7.9,0.95,1008148,0.017033,9.23311009,9.22372871,8.0519857,0.0317945
