original_id,synthetic_id
1016790_20141020_065506,100593
1016790_20141020_005214,100594
1016790_20141020_070147,100595
1016790_20141022_001421,100596
1016790_20141022_092804,100597
1016790_20141022_003407,100598
1016790_20141028_043253,100599
1016790_20141030_153926,100600
1016790_20141030_210939,100601
1016790_20141104_100915,100602
1016790_20141106_115455,100603
1016790_20141108_111529,100604
1016790_20141110_195715,100605
1016790_20141110_235037,100606
1016790_20141110_234122,100607
1016790_20141110_234046,100608
1016790_20141110_230736,100609
1016790_20141111_074210,100610
1016790_20141111_014922,100611
1016790_20141114_024942,100612
1016790_20141116_070805,100613
1016790_20141116_095452,100614
1016790_20141125_070607,100615
1016790_20141125_095413,100616
1016790_20141128_062005,100617
1016790_20141129_100945,100618
1016790_20141202_195346,100619
1016790_20141203_102848,100620
1016790_20141203_133730,100621
1016790_20141204_113244,100622
1016790_20141205_070039,100623
1016790_20141205_184923,100624
1016790_20141209_231045,100625
1016790_20141211_211055,100626
1016790_20141217_110404,100627
1016790_20141218_205136,100628
1016790_20141221_035734,100629
1016790_20141222_103923,100630
1016790_20141230_115639,100631
1016790_20141231_005846,100632
1016790_20150101_172712,100633
1016790_20150104_035721,100634
1016790_20150105_040404,100635
1016790_20150106_000046,100636
1016790_20150109_070134,100637
1016790_20150110_120750,100638
1016790_20150111_220736,100639
1016790_20150111_073101,100640
1016790_20150111_073222,100641
1016790_20150114_153744,100642
1016790_20150116_223727,100643
1016790_20150118_023702,100644
1016790_20150118_115154,100645
1016790_20150122_152703,100646
1016790_20150125_144702,100647
1016790_20150131_065454,100648
1016790_20150202_012727,100649
1016790_20150202_081108,100650
1016790_20150203_133620,100651
1016790_20150203_134430,100652
1016790_20150205_111536,100653
1016790_20150214_023349,100654
1016790_20150215_122744,100655
1016790_20150215_162015,100656
1016790_20150216_061111,100657
1016790_20150217_211455,100658
1016790_20150218_114733,100659
1016790_20150220_184119,100660
1016790_20150222_212050,100661
1016790_20150224_025753,100662
1016790_20150226_092540,100663
1016790_20150227_032458,100664
1016790_20150228_171541,100665
1016790_20150303_053451,100666
1016790_20150304_213747,100667
1016790_20150305_063935,100668
1016790_20150308_060347,100669
1016790_20150310_080908,100670
1016790_20150313_100420,100671
1016790_20150317_154910,100672
1016790_20150317_222240,100673
1016790_20150320_000948,100674
1016790_20150320_055901,100675
1016790_20150321_071602,100676
1016790_20150322_231323,100677
1016790_20150322_112437,100678
1016790_20150322_152800,100679
1016790_20150322_003917,100680
1016790_20150326_045909,100681
1016790_20150328_065218,100682
1016790_20150328_181605,100683
1016790_20150402_070243,100684
1016790_20150404_040427,100685
1016790_20150406_032105,100686
1016790_20150407_002232,100687
1016790_20150413_052942,100688
1016790_20150414_131757,100689
1016790_20150417_170914,100690
1016790_20150419_013543,100691
1016790_20150421_031009,100692
1016790_20150424_061248,100693
1016790_20150427_192727,100694
1016790_20150427_101521,100695
1016790_20150430_015215,100696
1016790_20150501_084015,100697
1016790_20150501_042552,100698
1016790_20150501_015529,100699
1016790_20150501_052234,100700
1016790_20150505_004137,100701
1016790_20150505_011713,100702
1016790_20150507_082908,100703
1016790_20150507_203813,100704
1016790_20150508_062825,100705
1016790_20150510_060653,100706
1016790_20150516_150050,100707
1016790_20150516_060643,100708
1016790_20150516_180547,100709
1016790_20150516_165150,100710
1016790_20150516_045727,100711
1016790_20150516_165336,100712
1016790_20150517_021412,100713
1016790_20150517_161318,100714
1016790_20150521_093234,100715
1016790_20150527_134114,100716
1016790_20150527_133800,100717
1016790_20150601_145846,100718
1016790_20150602_133818,100719
1016790_20150602_120601,100720
1016790_20150603_104903,100721
1016790_20150605_061633,100722
1016790_20150605_143532,100723
1016790_20150605_165727,100724
1016790_20150608_045612,100725
1016790_20150609_093702,100726
1016790_20150610_130610,100727
1016790_20150611_051238,100728
1016790_20150613_220751,100729
1016790_20150614_053124,100730
1016790_20150615_064024,100731
1016790_20150615_070514,100732
1016790_20150615_192345,100733
1016790_20150616_155217,100734
1016790_20150618_093137,100735
1016790_20150619_112131,100736
1016790_20150619_035106,100737
1016790_20150619_085943,100738
1016790_20150619_095438,100739
1016790_20150621_024636,100740
1016790_20150628_130954,100741
1016790_20150630_130126,100742
1016790_20150708_051226,100743
1016790_20150708_061338,100744
1016790_20150708_062237,100745
1016790_20150708_141739,100746
1016790_20150710_102447,100747
1016790_20150712_094408,100748
1016790_20150712_025110,100749
1016790_20150721_064523,100750
1016790_20150722_235916,100751
1016790_20150728_014712,100752
1016790_20150728_025528,100753
1016790_20150729_083728,100754
1016790_20150801_173915,100755
1016790_20150801_185131,100756
1016790_20150804_102158,100757
1016790_20150806_205921,100758
1016790_20150806_020254,100759
1016790_20150807_140447,100760
1016790_20150807_092041,100761
1016790_20150810_095326,100762
1016790_20150810_175532,100763
1016790_20150812_093453,100764
1016790_20150814_095207,100765
1016790_20150819_135209,100766
1016790_20150819_123910,100767
1016790_20150820_083525,100768
1016790_20150827_171139,100769
1016790_20150831_210451,100770
1016790_20150903_205306,100771
1016790_20150914_035653,100772
1016790_20150915_040248,100773
1016790_20150916_075413,100774
1016790_20150917_100857,100775
1016790_20150920_122026,100776
1016790_20150927_114842,100777
1016790_20150927_082611,100778
1016790_20150928_013459,100779
1016790_20150929_163739,100780
1016790_20150929_092533,100781
1016790_20150930_143812,100782
1016790_20150930_115438,100783
1016790_20150930_025725,100784
1016790_20151003_130303,100785
1016790_20151006_144646,100786
1016790_20151006_142753,100787
1016790_20151012_142302,100788
1016790_20151012_142950,100789
1016790_20151015_141406,100790
1016790_20151017_184048,100791
1016790_20151018_064630,100792
1016790_20151019_102537,100793
1016790_20151019_074046,100794
1016790_20151019_140407,100795
1016790_20151019_074421,100796
1016790_20151019_083232,100797
1016790_20151019_081736,100798
1016790_20151019_124013,100799
1016790_20151019_085016,100800
1016790_20151019_082742,100801
1016790_20151021_163203,100802
1016790_20151025_095202,100803
1016790_20151025_155241,100804
1016790_20151025_084000,100805
1016790_20151025_072209,100806
1016790_20151027_214726,100807
1016790_20151029_041059,100808
1016790_20151029_154705,100809
1016790_20151102_073514,100810
1016790_20151103_211621,100811
1016790_20151106_033838,100812
1016790_20151109_213615,100813
1016790_20151111_112323,100814
1016790_20151113_072627,100815
1016790_20151116_154529,100816
1016790_20151116_164900,100817
1016790_20151116_131942,100818
1016790_20151124_045447,100819
1016790_20151124_210753,100820
1016790_20151124_012547,100821
1016790_20151126_154811,100822
1016790_20151126_201808,100823
1016790_20151126_131520,100824
1016790_20151127_160926,100825
1016790_20151127_004321,100826
1016790_20151202_084318,100827
1016790_20151203_133043,100828
1016790_20151210_134032,100829
1016790_20151216_141859,100830
1016790_20151222_154938,100831
1016790_20151222_161216,100832
1016790_20151228_113434,100833
1016790_20151228_111810,100834
1016790_20151231_235318,100835
1016790_20160101_121006,100836
1016790_20160101_133449,100837
1016790_20160101_033838,100838
1016790_20160104_222042,100839
1016790_20160109_182638,100840
1016790_20160110_115957,100841
1016790_20160110_120716,100842
1016790_20160110_043303,100843
1016790_20160111_100120,100844
1016790_20160114_080416,100845
1016790_20160114_180556,100846
1016790_20160117_180730,100847
1016790_20160119_194002,100848
1016790_20160121_084346,100849
1016790_20160123_235825,100850
1016790_20160125_175900,100851
1016790_20160130_084205,100852
1016790_20160201_124009,100853
1016790_20160204_211214,100854
1016790_20160206_020231,100855
1016790_20160211_012710,100856
1016790_20160211_135415,100857
1016790_20160211_135618,100858
1016790_20160212_032945,100859
1016790_20160214_182120,100860
1016790_20160215_055751,100861
1016790_20160219_200013,100862
1016790_20160226_100727,100863
1016790_20160228_181516,100864
1016790_20160228_040520,100865
1016790_20160308_122342,100866
1016790_20160310_114019,100867
1016790_20160318_193808,100868
1016790_20160320_053230,100869
1016790_20160321_053530,100870
1016790_20160324_051758,100871
1016790_20160331_122241,100872
1016790_20160401_194632,100873
1016790_20160401_070616,100874
1016790_20160401_235823,100875
1016790_20160403_155114,100876
1016790_20160403_125125,100877
1016790_20160405_133530,100878
1016790_20160405_100741,100879
1016790_20160406_123119,100880
1016790_20160406_124334,100881
1016790_20160409_231832,100882
1016790_20160412_071656,100883
1016790_20160415_120014,100884
1016790_20160416_044140,100885
1016790_20160417_125958,100886
1016790_20160418_090921,100887
