event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1015048_20220824_182805,109741,40.542944,-124.369751,23.73,-11650.3,-809.3,2302.5,0.8,0.5,0.6,2022,8,24,18,28,5.4,0.0,4,0,17,9,0.003,0.07,1,2022-08-24T18:28:05.400Z
1012841_20210823_055136,109742,40.635864,-124.042293,19.638,16077.3,9509.1,-1788.9,0.4,0.2,0.3,2021,8,23,5,51,36.21,0.0,1,1,10,9,0.0,0.096,1,2021-08-23T05:51:36.210Z
1010829_20210829_124711,109744,40.543229,-123.7809,21.829,38230.7,-777.6,401.9,0.7,1.3,0.5,2021,8,29,12,47,11.24,0.0,3,0,3,0,0.005,0.006,1,2021-08-29T12:47:11.240Z
1012142_20210912_224815,109758,40.549312,-124.22526,17.798,589.4,-102.1,-3629.0,0.7,0.5,0.4,2021,9,12,22,48,15.52,0.0,1,7,11,47,0.005,0.041,1,2021-09-12T22:48:15.520Z
1011209_20211223_103050,109773,40.510722,-124.413753,19.172,-15381.3,-4387.4,-2255.7,1.3,3.1,4.2,2021,12,23,10,30,50.67,0.0,0,0,33,10,-9.0,0.035,1,2021-12-23T10:30:50.670Z
1012503_20210923_193334,109775,40.575659,-124.217415,19.62,1253.7,2823.6,-1806.8,1.9,1.2,2.2,2021,9,23,19,33,34.92,0.0,0,0,42,0,-9.0,0.042,1,2021-09-23T19:33:34.920Z
1011435_20210930_044334,109779,40.526164,-124.347974,18.622,-9806.7,-2672.7,-2805.1,4.5,1.5,3.8,2021,9,30,4,43,33.87,0.0,0,0,11,2,-9.0,0.031,1,2021-09-30T04:43:33.870Z
1016296_20211007_044550,109788,40.515405,-123.885929,21.928,29339.8,-3867.3,501.0,1.2,1.3,1.4,2021,10,7,4,45,50.95,0.0,3,2,12,8,0.009,0.056,1,2021-10-07T04:45:50.950Z
1016296_20211007_054408,109789,40.508012,-123.87557,21.914,30219.2,-4688.3,486.5,0.8,0.9,1.3,2021,10,7,5,44,8.12,0.0,2,0,6,6,0.001,0.063,1,2021-10-07T05:44:08.120Z
1016296_20211009_151413,109791,40.509172,-123.876335,21.423,30154.1,-4559.6,-4.0,1.2,1.4,2.2,2021,10,9,15,14,13.96,0.0,2,1,10,15,0.01,0.072,1,2021-10-09T15:14:13.960Z
