ev1,ev2,station,phase,dt_sec,weight
101361,148939,NCBVY,P,0.050206,0.886
101361,148939,NCHQR,P,0.052628,0.854
101361,148939,NCCAO,S,0.028468000000000004,0.76
101361,148939,NCCADa,S,0.075011,0.77
101361,148939,NCJST,S,0.033969,0.73
101361,148939,NCJCB,S,0.041817,0.86
101361,148939,NCCML,S,0.014509000000000001,0.9
101361,148939,NCCAL,S,0.002588,0.8
101361,148939,NCJAL,S,0.048961000000000005,0.85
101361,148939,NCHSP,S,0.066875,0.74
101361,148939,NCCMM,S,0.028273000000000003,0.9
101361,148939,NCJSS,S,0.024959000000000002,0.9
101361,148939,NCHGS,S,0.054213000000000004,0.84
101361,148939,NCJEC,S,0.025324000000000003,0.71
101361,148939,NCJLX,S,0.011347000000000003,0.73
101361,148939,NCHGW,S,0.07069700000000001,0.73
101361,148939,NCCDV,S,0.006443000000000004,0.91
101361,148939,NCCMP,S,0.038853,0.97
101361,148939,NCCMR,S,-0.0033159999999999995,0.9
101361,148939,NCCOS,S,0.015925,0.89
101361,148939,NCHPR,S,0.041276,0.79
101361,148939,NCCMN,S,0.0035410000000000025,0.89
101361,148939,NCCST,S,0.023689,0.72
101361,148939,NCHPL,S,0.055975000000000004,0.81
101361,148939,NCJSM,S,0.013409000000000004,0.77
101361,148939,NCCCY,S,0.010644,0.92
101361,154124,NCCVA,P,0.029216,0.792
101361,154124,NCCMN,P,0.027797999999999996,0.765
101361,154124,NCHPL,P,0.152836,0.774
101361,160503,NCCADa,P,0.027237,0.945
101361,160503,NCJCB,P,0.0023170000000000014,0.812
101361,160503,NCCML,P,0.022247000000000003,0.867
101361,160503,NCHSP,P,0.018979,0.852
101361,160503,NCCMM,P,0.021928,0.739
101361,160503,NCHGS,P,0.011524,0.909
101361,160503,NCJEC,P,-0.0005199999999999996,0.89
101361,160503,NCHGW,P,0.030895,0.954
101361,160503,NCCDV,P,0.014362,0.885
101361,160503,NCCMJ,P,0.011276000000000001,0.747
101361,160503,NCCMP,P,0.016201,0.87
101361,160503,NCJBC,P,0.0022320000000000013,0.728
101361,160503,NCCVA,P,0.008648000000000001,0.737
101361,160503,NCHPR,P,0.010068,0.887
101361,160503,NCHCB,P,0.007841,0.764
101361,160503,NCJSC,P,0.020448,0.799
101361,160503,NCHFE,P,0.016938,0.867
101361,160503,NCCST,P,0.021605,0.855
101361,160503,NCHPL,P,0.013471,0.885
101361,160503,NCHAZ,P,0.010722,0.796
101361,160503,NCJPPa,P,0.004932000000000001,0.735
101361,160503,NCHDLb,P,0.008092,0.938
101361,160503,NCHFP,P,0.029663000000000002,0.925
101361,160503,NCBVY,P,0.029717,0.92
101361,160503,NCCSC,S,0.008804000000000001,0.73
101361,160503,NCCADa,S,0.026608,0.87
101361,160503,NCJST,S,0.011797000000000002,0.86
101361,160503,NCJCB,S,0.004352,0.92
101361,160503,NCCML,S,0.018086,0.86
101361,160503,NCCAL,S,0.009622,0.72
101361,160503,NCJAL,S,0.026753,0.9
101361,160503,NCHSP,S,0.019606000000000002,0.85
101361,160503,NCCMM,S,0.022041,0.9
101361,160503,NCJSS,S,0.008942,0.97
101361,160503,NCHGS,S,0.011782,0.92
101361,160503,NCJEC,S,-0.0013249999999999998,0.85
101361,160503,NCHGW,S,0.030362,0.89
101361,160503,NCCDV,S,0.011262000000000001,0.88
101361,160503,NCCMJ,S,0.008496,0.82
101361,160503,NCCMP,S,0.015260000000000001,0.96
101361,160503,NCJBC,S,0.015193000000000002,0.76
101361,160503,NCCOS,S,0.020456000000000002,0.88
101361,160503,NCCVA,S,0.018992000000000002,0.94
101361,160503,NCHPR,S,0.015737,0.88
101361,160503,NCJPL,S,0.014928,0.76
101361,160503,NCHCB,S,0.009519,0.79
101361,160503,NCJSC,S,0.026706,0.74
101361,160503,NCHFE,S,0.029222,0.78
101361,160503,NCHPL,S,0.027267,0.86
101361,160503,NCJSM,S,0.016303,0.78
101361,160503,NCJUC,S,0.019974000000000002,0.83
101361,160503,NCCCY,S,0.031560000000000005,0.85
101361,160503,NCHFH,S,0.036205,0.91
101361,160503,NCHDLb,S,0.017495,0.74
101361,160503,NCHFP,S,0.028143,0.82
101361,160503,NCBVY,S,0.030309000000000003,0.82
101361,215747,NCCSC,P,0.009085,0.743
101361,215747,NCCADa,P,0.041636,0.887
101361,215747,NCJST,P,0.017738,0.706
101361,215747,NCJCB,P,0.018801,0.831
101361,215747,NCCML,P,0.011056,0.958
101361,215747,NCCAL,P,-0.0008590000000000004,0.787
101361,215747,NCHSP,P,0.039093,0.703
101361,215747,NCJRR,P,0.022584,0.816
101361,215747,NCHGS,P,0.02982,0.919
101361,215747,NCJEC,P,0.015874,0.803
101361,215747,NCHGW,P,0.048951999999999996,0.936
101361,215747,NCCDV,P,-0.011131,0.967
101361,215747,NCCMJ,P,-0.0015440000000000002,0.843
101361,215747,NCCMP,P,0.023147,0.822
101361,215747,NCJBZ,P,0.020385,0.913
101361,215747,NCCMR,P,0.0014280000000000004,0.929
101361,215747,NCJTG,P,0.025639000000000002,0.747
101361,215747,NCCMN,P,-0.008624999999999999,0.891
101361,215747,NCJRG,P,0.019194,0.829
101361,215747,NCJSC,P,0.007634,0.788
101361,215747,NCHFE,P,0.033835,0.765
101361,215747,NCCST,P,0.016813,0.903
101361,215747,NCHPL,P,0.02819,0.928
101361,215747,NCJBM,P,-0.001141999999999999,0.857
101361,215747,NCHOR,P,0.03129,0.762
101361,215747,NCHAZ,P,0.025689,0.716
101361,215747,NCJSFa,P,-0.003683999999999998,0.728
101361,215747,NCCCY,P,0.011003,0.797
101361,215747,NCJBLb,P,0.0008409999999999997,0.802
101361,215747,NCJPPa,P,-0.0005269999999999997,0.907
101361,215747,NCHDLb,P,0.021406,0.913
101361,215747,NCCMO,P,-0.006368,0.858
101361,215747,NCCLC,P,-0.002581,0.763
101361,215747,NCHFP,P,0.033033,0.77
101361,215747,NCBVY,P,0.033949,0.828
101361,215747,NCCADa,S,0.057465999999999996,0.81
101361,215747,NCJST,S,0.017694,0.74
101361,215747,NCJCB,S,0.029885000000000002,0.85
101361,215747,NCCML,S,-0.0009490000000000002,0.92
101361,215747,NCCAL,S,-0.01308,0.78
101361,215747,NCJAL,S,0.030571,0.81
101361,215747,NCHSP,S,0.05004,0.77
101361,215747,NCHGS,S,0.038776,0.86
101361,215747,NCJEC,S,0.01315,0.72
101361,215747,NCCDV,S,-0.021582000000000004,0.93
101361,215747,NCCMP,S,0.023523000000000002,0.95
101361,215747,NCCMR,S,-0.011765,0.83
101361,215747,NCJBC,S,-0.0024930000000000004,0.74
101361,215747,NCCMN,S,-0.011406000000000001,0.86
101361,215747,NCHCB,S,0.023454000000000003,0.73
101361,215747,NCCST,S,0.010642,0.78
101361,215747,NCHPL,S,0.040717,0.82
101361,215747,NCJSM,S,0.0005190000000000004,0.78
101361,215747,NCCCY,S,-0.005210999999999999,0.86
101361,238704,NCCCOa,P,-0.011026,0.716
101361,238704,NCCSC,P,-0.002097999999999999,0.882
101361,238704,NCCMH,P,-0.007029999999999998,0.91
101361,238704,NCCADa,P,0.008803000000000002,0.969
101361,238704,NCJST,P,-0.006791999999999999,0.87
101361,238704,NCJCB,P,-0.011957999999999998,0.876
101361,238704,NCCML,P,0.0075850000000000015,0.979
101361,238704,NCCAL,P,-0.0028329999999999987,0.915
101361,238704,NCJAL,P,0.009184000000000001,0.872
101361,238704,NCHSP,P,0.0008030000000000016,0.882
101361,238704,NCJRR,P,-0.007379999999999999,0.919
101361,238704,NCJSS,P,-0.0005439999999999993,0.843
101361,238704,NCHGS,P,-0.004472999999999998,0.865
